 Wed Apr 19 12:19:06 2023
        MODEL     FREQUENCY
           1           2
           3           1
           4           2
           6          12
           7           1
           9           1
          10           9
          11           6
          12           3
          13           9
          14           9
          15           6
          17           5
          18           2
          31           2
          32           1
          34           4
          52           2
          54           1
          56           4
          60           2
          61           1
          62           2
          69           2
          71           4
          72           6
          73           4
          74           2
          79           7
          80           4
         100           2
         121           1
         125           6
         136           2
         156           5
         161           2
         168           1
         186           3
         261           1
         272           1
         273           1
         275           1
         277           4
         282           1
         284           6
         285           1
         287           2
         288           1
         290           1
         292           4
         294           1
         297           3
         298           1
         299           1
         301           1
         302           1
         305           5
         306           4
         307           1
         308           1
         311           2
         313           1
         316           4
         317           1
         323           1
         372           4
         373           2
         374           6
         375           1
         376           2
         377           7
         379           3
         380           6
         381           4
         382           4
         383           2
         384           1
         388           1
         391           2
         392           2
         395          11
         398           1
         434           5
         436           6
         439           3
         444           2
         447           1
         449           1
         464           2
         465           1
         476           5
         477           5
         481           1
         482           6
         487           1
         491           1
         497           2
         498           1
         503           8
         505           1
         508          13
         512           4
         513          29
         515           5
         516          21
         517          16
         520           7
         525          22
         526          10
         527           2
         529           1
         530           7
         533          17
         534           1
         536           1
         537          20
         540          13
         541           7
         542           2
         544           2
         562           3
         567           3
         570           3
         574           1
         578           2
         583           1
         587           1
         592           5
         596          18
         597           1
         598           4
         599           4
         600           1
         602           2
         604           3
         606           2
         609           4
         613           1
         635           1
         670           1
         673           3
         674          10
         675           2
         677           2
         678           8
         679           1
         680           1
         681          24
         682          16
         683          15
         684           1
         685           2
         686          11
         688           1
         691           4
         692          15
         693           2
         694           5
         696           7
         698           2
         699           3
         706           2
         708           2
         709          12
         715           5
         716           3
         720           1
         722           2
         724           1
         726          15
         727           4
         728          13
         729           6
         731          17
         732           2
         733           1
         738           3
         739           1
         741           2
         742          11
         745           1
         748           3
         749           4
         750           3
         752           2
         755           9
         757           4
         758           2
         761           2
         764           1
         765           2
         767           6
         768           5
         774           1
         785           1
         786           7
         787           3
         788           5
         796           1
         803           1
         804           1
         808           1
         818          16
         838          20
         839          24
         840          26
         841           8
         842           5
         843           4
         845           5
         846           3
         850           3
         857           1
         858           1
         863           9
         868           1
         869           1
         871           1
         872           1
         875           1
         877           1
         882           1
         883           1
         897           1
        1165           1
