 Wed Apr 19 10:23:01 2023
        MODEL     FREQUENCY
           1           1
           3           4
           4           3
           6          10
           7           4
           9           8
          10           7
          11           1
          12           6
          13           5
          14           6
          15           4
          16           6
          17           3
          18           3
          26           1
          29           1
          32           2
          56           2
          60           1
          61           2
          62           1
          64           2
          69           2
          70           1
          71           6
          72           4
          73          10
          74           3
          79           6
          80           5
         100           1
         119           1
         121           1
         125           7
         128           1
         131           1
         135           1
         138           1
         141           1
         142           1
         156           3
         158           2
         166           1
         168           4
         169           1
         178           1
         181           1
         185           1
         186           2
         203           1
         207           2
         264           1
         272           1
         273           1
         275           3
         277           2
         281           2
         282           2
         283           1
         284           3
         286           1
         288           1
         299           1
         300           1
         301           1
         304           6
         305           2
         306           5
         308           1
         311           1
         316           6
         328           1
         372           2
         373           2
         374           6
         375           6
         376           6
         377           6
         378           4
         379           2
         380           3
         381           4
         382           3
         383           3
         384           1
         386           3
         387           2
         388           1
         391           2
         392           3
         393           3
         395           4
         398           1
         399           1
         405           1
         433           1
         434           5
         435           2
         436           3
         439           2
         441           1
         442           1
         444           1
         445           3
         446           2
         447           2
         448           2
         449           4
         450           1
         452           1
         453           1
         454           2
         456           1
         463           4
         464           2
         469           1
         475           1
         476           5
         477           4
         481           3
         482           2
         487           1
         490           2
         491           6
         493           2
         497           1
         498           3
         503           1
         505           1
         506           2
         507           2
         508          17
         512           2
         513          17
         514          14
         515          12
         516          18
         517          11
         518           5
         520           3
         521           2
         523           3
         525           9
         526          14
         527           2
         529           3
         530          14
         531           2
         532           1
         533           4
         534           2
         535           1
         536           2
         537           5
         538           3
         539           2
         540           7
         541           3
         542           1
         544           1
         547           1
         565           1
         567           2
         568           1
         572           1
         578           1
         591           1
         592           3
         593           1
         595           1
         596          17
         597           3
         598           2
         599           3
         600           2
         601           4
         602           2
         603           2
         604           5
         606           2
         607           2
         609           1
         612           2
         613           4
         627           1
         629           1
         635           2
         641           1
         642           1
         645           1
         670           4
         672           1
         673          10
         674          12
         676           4
         677           1
         678          10
         679           7
         680           3
         681          13
         682          23
         683           6
         685           1
         686          12
         688           6
         689           1
         690           1
         691           4
         692           5
         693           5
         694           3
         696           3
         697           1
         698           5
         699           2
         700           2
         702           2
         703           2
         706           3
         707           1
         708           7
         709          11
         710           1
         714           2
         715           2
         716           4
         722           2
         723           3
         724           2
         725           3
         726           9
         727           3
         728           8
         731           4
         733           2
         734           1
         737           2
         738           4
         739           3
         741           3
         742           3
         745           3
         748           2
         749           1
         750           5
         752           1
         753           6
         755           2
         756           3
         757           1
         758           1
         761           2
         762           1
         764           1
         765           3
         767           8
         768           4
         769           2
         774           2
         782           1
         786           5
         788           3
         795           1
         796           4
         802           1
         803           1
         810           1
         811           1
         816           1
         818          11
         820           1
         821           5
         828           1
         833           1
         838           4
         839          13
         840          14
         841          13
         842           9
         843           3
         844           3
         845           1
         846           1
         850           1
         851           3
         863           7
         865           1
         866           2
         867           3
         868           1
         876           1
         877           1
         884           2
         886           1
         897           1
        1369           1
