 Wed Apr 19 11:11:37 2023
        MODEL     FREQUENCY
           3          16
          27           2
          34          13
          36          10
          50           3
          55           3
          62          19
          64           2
          65          34
          66          13
          67           1
          74           1
          77           2
          87           8
          88          11
          89           5
          90           2
          97           7
         100          10
         113           1
         114          19
         115           6
         117           2
         118           1
         119          59
         126          12
         127           1
         133          66
         136           5
         137           4
         138           2
         140           2
         141           6
         144           5
         145          46
         146          25
         147          22
         156           3
         159           2
         165           3
         273           8
         343          30
         345          41
         347           1
         349           4
         358         119
         359           3
         361           2
         398           1
         476           8
         480           1
         481          13
         497          60
         501          11
         503          37
         504           2
         509           4
         510           5
         512           6
         516          10
         517           2
         518          40
         533           8
         565           1
         566           8
         572           1
         573           9
         574          36
         575          35
         578          27
         580           8
         688           1
         701           1
        1211           1
        1254           2
