 Wed Apr 19 11:55:18 2023
        MODEL     FREQUENCY
           1           1
           2           6
           3           5
           4          34
           6           2
           7           1
           9           2
          12           2
          15           3
          16           2
          17           3
          18           2
          24           4
          25           2
          26          11
          31          14
          32          45
          33           1
          34          12
          35           1
          38          20
          39           3
          42          65
          43          68
          44           2
          45           2
          46           1
          50           2
         117           2
         137           3
         142          11
         143           4
         144           1
         146          35
         147           5
         148          19
         149          10
         150           3
         151           2
         153           7
         154          10
         155           9
         156          14
         157         102
         158          13
         162           2
         163          14
         168          41
         169          90
         170          19
         171          27
         172          14
         173           7
         181          10
         182           2
         185           8
         191           1
         197           2
         201          18
         214           3
         232           1
         235           1
         236           6
         244          21
         245          32
         246          30
         247          42
         248          25
         250           3
         251           2
         252           2
         253           1
         255           2
         264           1
         719           2
         798           2
        1482           1
        1795           2
