### DATA:
#
# 239
#      Q             I(Q)           Error     
1.25505579E-02  1.67005310E-02  2.14828454E-03
1.36111684E-02  1.63033406E-02  1.86195289E-03
1.46717790E-02  1.41715780E-02  1.64445988E-03
1.57323895E-02  1.59995357E-02  1.44468644E-03
1.67930000E-02  1.57545159E-02  1.33868802E-03
1.78536105E-02  1.52158750E-02  1.21169925E-03
1.89142211E-02  1.59640585E-02  1.16603991E-03
1.99748316E-02  1.54031167E-02  1.10756915E-03
2.10354421E-02  1.44840106E-02  1.04996393E-03
2.20960526E-02  1.34154422E-02  9.96202654E-04
2.31566632E-02  1.31925233E-02  9.67053691E-04
2.42172737E-02  1.47041902E-02  9.27630385E-04
2.52778842E-02  1.25400436E-02  8.54765346E-04
2.63384948E-02  1.35678252E-02  8.11185461E-04
2.73991053E-02  1.27071179E-02  7.85520394E-04
2.84597158E-02  1.20676855E-02  3.48640512E-04
2.95203263E-02  1.21828218E-02  3.33286876E-04
3.05809369E-02  1.17738719E-02  3.23717439E-04
3.16415474E-02  1.14617844E-02  3.14038316E-04
3.27021579E-02  1.14785135E-02  3.04693397E-04
3.37627684E-02  1.11633291E-02  2.93970075E-04
3.48233790E-02  1.06756762E-02  2.89725243E-04
3.58839895E-02  1.07326731E-02  2.79231847E-04
3.69446000E-02  1.03533560E-02  2.73405163E-04
3.80052105E-02  1.01150423E-02  2.65198962E-04
3.90658211E-02  9.48971324E-03  2.62655150E-04
4.01264316E-02  9.66193713E-03  2.54968787E-04
4.11870421E-02  9.55281034E-03  2.52247603E-04
4.22476527E-02  9.39639782E-03  2.46596684E-04
4.33082632E-02  8.76186726E-03  2.39976330E-04
4.43688737E-02  8.74141914E-03  2.35782498E-04
4.54294842E-02  8.46296921E-03  2.33841536E-04
4.64900948E-02  8.47921396E-03  2.29217602E-04
4.75507053E-02  8.01482114E-03  2.23685811E-04
4.86113158E-02  7.82462768E-03  2.20827173E-04
4.96719263E-02  7.79306951E-03  2.18587687E-04
5.07325369E-02  7.62672847E-03  2.18122707E-04
5.17931474E-02  7.29544461E-03  2.18005856E-04
5.28537579E-02  6.88453267E-03  2.20190926E-04
5.39143685E-02  6.90334849E-03  2.18305781E-04
5.49749790E-02  6.84055438E-03  2.18743590E-04
5.60355895E-02  6.41523550E-03  2.15884420E-04
5.70962000E-02  6.53230088E-03  2.12412788E-04
5.81568106E-02  6.42643869E-03  2.06126281E-04
5.92174211E-02  6.08003574E-03  2.02140657E-04
6.02780316E-02  5.78411420E-03  1.97119526E-04
6.13386421E-02  5.79717134E-03  1.94506120E-04
6.23992527E-02  5.60315885E-03  1.92003362E-04
6.34598632E-02  5.54058577E-03  1.90794448E-04
6.45204737E-02  5.49057933E-03  1.86794130E-04
6.55810842E-02  5.48110406E-03  1.84081543E-04
6.66416948E-02  5.27111565E-03  1.82529583E-04
6.77023053E-02  4.96748028E-03  1.81157708E-04
6.87629158E-02  4.80995638E-03  1.76537107E-04
6.98235264E-02  4.76410923E-03  1.75856388E-04
7.08841369E-02  4.34125898E-03  1.73940795E-04
7.19447474E-02  4.32177509E-03  1.71287216E-04
7.30053579E-02  4.40670891E-03  1.70977706E-04
7.40659685E-02  4.33245363E-03  1.68728554E-04
7.51265790E-02  4.17697492E-03  1.65905279E-04
7.61871895E-02  3.95408614E-03  1.64054883E-04
7.72478000E-02  4.00310258E-03  1.64003493E-04
7.83084106E-02  4.02728717E-03  1.61698635E-04
7.93690211E-02  3.87254016E-03  1.60402248E-04
8.04296316E-02  3.66878572E-03  1.58923261E-04
8.14902422E-02  3.50290382E-03  1.57509979E-04
8.25508527E-02  3.54891829E-03  1.55232330E-04
8.36114632E-02  3.49294829E-03  1.57877446E-04
8.46720737E-02  3.29871320E-03  1.58968348E-04
8.57326843E-02  3.25441640E-03  1.57968639E-04
8.67932948E-02  3.21062530E-03  1.53808875E-04
8.78539053E-02  3.22879292E-03  1.52487559E-04
8.89145158E-02  3.07813721E-03  1.51857488E-04
8.99751264E-02  2.94472743E-03  1.53798114E-04
9.10357369E-02  3.04832713E-03  1.52956953E-04
9.20963474E-02  2.92430756E-03  1.54121721E-04
9.31569579E-02  2.97496592E-03  1.54437575E-04
9.42175685E-02  2.77734672E-03  1.58203214E-04
9.52781790E-02  2.81568120E-03  1.60322161E-04
9.63387895E-02  2.74767416E-03  1.59968785E-04
9.73994001E-02  2.74252550E-03  1.61079627E-04
9.84600106E-02  2.59794046E-03  1.61097902E-04
9.95206211E-02  2.57902189E-03  1.61485017E-04
1.00581232E-01  2.70134211E-03  1.56383224E-04
1.01641842E-01  2.58256091E-03  1.55432849E-04
1.02702453E-01  2.48938613E-03  1.55510360E-04
1.03763063E-01  2.26862263E-03  1.53937862E-04
1.04823674E-01  2.30167899E-03  1.52415053E-04
1.05884284E-01  2.23831770E-03  1.52467333E-04
1.06944895E-01  2.24851382E-03  1.52366505E-04
1.08005505E-01  2.36748842E-03  1.50744757E-04
1.09066116E-01  2.30091251E-03  1.49555392E-04
1.10126726E-01  2.26612296E-03  1.49006793E-04
1.11187337E-01  2.32303639E-03  1.48509249E-04
1.12247947E-01  2.22261405E-03  1.48666045E-04
1.13308558E-01  2.12809412E-03  1.47347672E-04
1.14369168E-01  2.11355556E-03  1.46793912E-04
1.15429779E-01  2.12387213E-03  1.46928636E-04
1.16490390E-01  2.06676343E-03  1.46443165E-04
1.17551000E-01  1.92924030E-03  1.45847071E-04
1.18611611E-01  2.12227181E-03  1.44089324E-04
1.19672221E-01  1.86577253E-03  1.44515559E-04
1.20732832E-01  1.65536255E-03  1.44013254E-04
1.21793442E-01  1.90565332E-03  1.42982409E-04
1.22854053E-01  1.86382327E-03  1.42711941E-04
1.23914663E-01  1.76387218E-03  1.42792300E-04
1.24975274E-01  1.86768267E-03  1.42351477E-04
