### DATA:
#
# 239
#      Q             I(Q)           Error     
1.25505579E-02  3.38868163E-02  2.49545117E-03
1.36111684E-02  3.57991950E-02  2.19162355E-03
1.46717790E-02  3.67708905E-02  1.93752210E-03
1.57323895E-02  3.41092665E-02  1.72386007E-03
1.67930000E-02  3.73138175E-02  1.61826923E-03
1.78536105E-02  3.43042052E-02  1.47744297E-03
1.89142211E-02  3.53128453E-02  1.43231073E-03
1.99748316E-02  3.54278060E-02  1.36829343E-03
2.10354421E-02  3.49854025E-02  1.29309703E-03
2.20960526E-02  3.41023855E-02  1.24345574E-03
2.31566632E-02  3.28514472E-02  1.20696571E-03
2.42172737E-02  3.28286985E-02  1.16170023E-03
2.52778842E-02  3.31089352E-02  1.07264728E-03
2.63384948E-02  3.33202668E-02  1.02694251E-03
2.73991053E-02  3.22174170E-02  9.90291453E-04
2.84597158E-02  3.13266645E-02  9.39716820E-04
2.95203263E-02  3.10165045E-02  9.03669335E-04
3.05809369E-02  3.01583712E-02  8.78078847E-04
3.16415474E-02  2.99256990E-02  8.53052717E-04
3.27021579E-02  3.04076253E-02  8.27113175E-04
3.37627684E-02  2.96063172E-02  7.99705152E-04
3.48233790E-02  2.96493702E-02  7.86054002E-04
3.58839895E-02  2.83665043E-02  7.60975673E-04
3.69446000E-02  2.79179500E-02  7.43396437E-04
3.80052105E-02  2.71140945E-02  7.24582230E-04
3.90658211E-02  2.71601075E-02  7.16955160E-04
4.01264316E-02  2.58361275E-02  6.93489088E-04
4.11870421E-02  2.51987805E-02  6.90416585E-04
4.22476527E-02  2.47818984E-02  6.70891750E-04
4.33082632E-02  2.46449777E-02  6.56597698E-04
4.43688737E-02  2.35986188E-02  6.46248650E-04
4.54294842E-02  2.44714986E-02  6.37146357E-04
4.64900948E-02  2.24244238E-02  6.23620105E-04
4.75507053E-02  2.27360982E-02  6.10841097E-04
4.86113158E-02  2.19022671E-02  6.06914720E-04
4.96719263E-02  2.19351959E-02  6.00974977E-04
5.07325369E-02  2.13122205E-02  5.96132520E-04
5.17931474E-02  2.08868226E-02  5.96061120E-04
5.28537579E-02  1.99609347E-02  6.05048970E-04
5.39143685E-02  1.96910831E-02  5.98431982E-04
5.49749790E-02  1.97114395E-02  5.99449810E-04
5.60355895E-02  1.93284217E-02  5.92887290E-04
5.70962000E-02  1.83672956E-02  5.83063335E-04
5.81568106E-02  1.80070675E-02  5.65013583E-04
5.92174211E-02  1.80225605E-02  5.53306688E-04
6.02780316E-02  1.71575413E-02  5.40995305E-04
6.13386421E-02  1.63292680E-02  5.33181690E-04
6.23992527E-02  1.64550180E-02  5.26533427E-04
6.34598632E-02  1.59344438E-02  5.21344240E-04
6.45204737E-02  1.57072362E-02  5.09876265E-04
6.55810842E-02  1.53821958E-02  5.02575995E-04
6.66416948E-02  1.52521921E-02  4.97600658E-04
6.77023053E-02  1.49460249E-02  4.97007775E-04
6.87629158E-02  1.40078612E-02  4.84598908E-04
6.98235264E-02  1.38573218E-02  4.81070540E-04
7.08841369E-02  1.34461938E-02  4.76929418E-04
7.19447474E-02  1.32677723E-02  4.70210335E-04
7.30053579E-02  1.26907788E-02  4.66351862E-04
7.40659685E-02  1.27985731E-02  4.62269315E-04
7.51265790E-02  1.23990893E-02  4.53741160E-04
7.61871895E-02  1.21180775E-02  4.51203110E-04
7.72478000E-02  1.15916995E-02  4.49082108E-04
7.83084106E-02  1.12788273E-02  4.41945395E-04
7.93690211E-02  1.10479079E-02  4.38260025E-04
8.04296316E-02  1.09616328E-02  4.36355225E-04
8.14902422E-02  1.10333398E-02  4.31886252E-04
8.25508527E-02  1.08287720E-02  4.26646513E-04
8.36114632E-02  1.05548564E-02  4.31995000E-04
8.46720737E-02  1.01540296E-02  4.34821240E-04
8.57326843E-02  9.58717927E-03  4.31840638E-04
8.67932948E-02  9.75861050E-03  4.21104732E-04
8.78539053E-02  9.28516000E-03  4.17343612E-04
8.89145158E-02  9.18746890E-03  4.15031430E-04
